"","Country","seatprop","ger_tertiary","ger_secondary","molten.flfpr","molten.gdp","molten.gni","molten.pop","ml_wagespaid1","ml_length1","fertility"
"185","Curacao",NA,NA,NA,NA,3123803822.82522,27410.7692307692,144666.944444444,NA,NA,2.00833333333333
"186","Early-demographic dividend",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.87646790434848
"187","East Asia & Pacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8255950006574
"188","East Asia & Pacific (excluding high income)",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.87635445869805
"189","East Asia & Pacific (IDA & IBRD countries)",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.87541442358366
"190","Egypt, Arab Rep.",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.23505555555556
"191","Eswatini",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.44016666666667
"192","Euro area",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.52923767656527
"193","Europe & Central Asia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.67227836791379
"194","Europe & Central Asia (excluding high income)",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.80618077813916
"195","Europe & Central Asia (IDA & IBRD countries)",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.76316309033689
"196","European Union",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.54274091938311
"197","Faroe Islands",NA,NA,NA,NA,2134895626.63586,NA,47040.6111111111,NA,NA,2.51666666666667
"198","Fragile and conflict affected situations",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.82186500465818
"199","French Polynesia",NA,NA,NA,47.8715295230641,NA,NA,253415.888888889,0,NA,2.16466666666667
"200","Gambia, The",NA,NA,NA,49.6953526665183,940480045.001306,1361.17647058824,1681301.77777778,NA,NA,5.61161111111111
"201","Gibraltar",NA,NA,NA,NA,NA,NA,32741.3888888889,NA,NA,NA
"202","Greenland",NA,NA,NA,NA,2207204220.49709,NA,55216.8888888889,NA,NA,2.2375
"203","Guam",NA,NA,NA,55.0538238076603,4765437500,NA,154440.888888889,0,NA,2.55161111111111
